,Name,Zomato Rating,Zomato Review Count,Address,Longitude,Latitude,City Name,Google Rating,Yelp Rating,Yelp Review Count,Composite Rating,Total Review count
52,Fogo de Chão,4.1,769,"309 E 3rd Street, Austin 78701",-97.7406527778,30.2643555556,"Austin, TX",4.5,4.0,640,4.2,1409
53,Mighty Fine Burgers,4.1,1096,"10515 Mo-Pac Expressway N, Suite B 205, Austin 78759",-97.7329416667,30.3897694444,"Austin, TX",4.4,4.0,328,4.166666666666667,1424
54,North Italia,4.0,596,"11506 Century Oaks Terrace, Suite 124, Austin 78758",-97.7257000000,30.4021250000,"Austin, TX",4.5,4.0,977,4.166666666666667,1573
55,Mighty Fine Burgers,4.1,388,"5601 Brodie Lane, Suite 1300, Austin 78745",-97.8210222222,30.2272555556,"Austin, TX",4.4,4.0,328,4.166666666666667,716
56,Buenos Aires Cafe,4.1,398,"1201 E 6th Street, Austin 78702",-97.7304750000,30.2643722222,"Austin, TX",4.4,4.0,533,4.166666666666667,931
57,The Grove Wine Bar & Kitchen,4.1,627,"6317 Bee Caves Road, Austin 78746",-97.8338290000,30.2962710000,"Austin, TX",4.4,4.0,161,4.166666666666667,788
58,Cafe Crépe,4.2,369,"200 San Jacinto Boulevard, Suite A 78701",-97.7418138889,30.2637055556,"Austin, TX",4.3,4.0,691,4.166666666666667,1060
59,Chuy's,4.1,719,"1728 Barton Springs Road, Austin 78704",-97.7632730000,30.2638520000,"Austin, TX",4.4,4.0,816,4.166666666666667,1535
60,Kerbey Lane Cafe,4.2,914,"3003 S Lamar Boulevard, Austin 78704",-97.7838750000,30.2420611111,"Austin, TX",4.3,4.0,1039,4.166666666666667,1953
61,Jardin Corona,4.3,680,"13233 Pond Springs Road, Suite 301, Austin 78729",-97.7792277778,30.4463305556,"Austin, TX",,4.0,341,4.15,1021
62,Juan In A Million,4.0,798,"2300 E Cesar Chavez Street, Austin 78702",-97.7190333333,30.2553138889,"Austin, TX",4.4,4.0,1412,4.133333333333334,2210
